Jumanji: Welcome to the Jungle	2017	7.0	Dwayne Johnson*Karen Gillan*Kevin Hart*Jack Black
Zodiac	2007	7.7	Jake Gyllenhaal*Robert Downey Jr.*Mark Ruffalo*Anthony Edwards
Blade Runner 2049	2017	8.0	Harrison Ford*Ryan Gosling*Ana de Armas*Dave Bautista
Dumbo	2019	6.6	Colin Farrell*Michael Keaton*Danny DeVito*Eva Green
Baby Driver	2017	7.6	Ansel Elgort*Jon Bernthal*Jon Hamm*Eiza González
Replicas	2018	5.4	Keanu Reeves*Alice Eve*Thomas Middleditch*John Ortiz
The Hateful Eight	2015	7.8	Samuel L. Jackson*Kurt Russell*Jennifer Jason Leigh*Walton Goggins
Deadpool	2016	8.0	Ryan Reynolds*Morena Baccarin*T.J. Miller*Ed Skrein
Aladdin	1992	8.0	Scott Weinger*Robin Williams*Linda Larkin*Jonathan Freeman
Good Sam	2019	5.6	Tiya Sircar*Chad Connell*Marco Grazzini*Jesse Camacho
Forrest Gump	1994	8.8	Tom Hanks*Robin Wright*Gary Sinise*Sally Field
Good Time	2017	7.3	Robert Pattinson*Benny Safdie*Jennifer Jason Leigh*Buddy Duress
Kingsman: The Secret Service	2014	7.7	Colin Firth*Taron Egerton*Samuel L. Jackson*Michael Caine
Pet Sematary	1989	6.6	Dale Midkiff*Denise Crosby*Fred Gwynne*Brad Greenquist
Five Feet Apart	2019	7.1	Haley Lu Richardson*Cole Sprouse*Moises Arias*Kimberly Hebert Gregory
Miss Bala	2019	5.5	Gina Rodriguez*Thomas Dekker*Vivian Chan*Barbarella Pardo
Mean Girls	2004	7.0	Lindsay Lohan*Jonathan Bennett*Rachel McAdams*Tina Fey
Adrift	2018	6.6	Shailene Woodley*Sam Claflin*Jeffrey Thomas*Elizabeth Hawthorne
White Boy Rick	2018	6.4	Matthew McConaughey*Richie Merritt*Bel Powley*Jennifer Jason Leigh
The Lion King	1994	8.5	Matthew Broderick*Jeremy Irons*James Earl Jones*Whoopi Goldberg
Ying	2018	7.0	Chao Deng*Li Sun*Ryan Zheng*Qianyuan Wang
A Simple Favor	2018	6.9	Anna Kendrick*Blake Lively*Henry Golding*Andrew Rannells
Annihilation	2018	6.9	Natalie Portman*Jennifer Jason Leigh*Tessa Thompson*Benedict Wong
A Dog's Purpose	2017	7.1	Josh Gad*Dennis Quaid*Peggy Lipton*Bryce Gheisar
Inglourious Basterds	2009	8.3	Brad Pitt*Diane Kruger*Eli Roth*Mélanie Laurent
X-Men: Days of Future Past	2014	8.0	Patrick Stewart*Ian McKellen*Hugh Jackman*James McAvoy
The Silence of the Lambs	1991	8.6	Jodie Foster*Anthony Hopkins*Lawrence A. Bonney*Kasi Lemmons
The Wolf of Wall Street	2013	8.2	Leonardo DiCaprio*Jonah Hill*Margot Robbie*Matthew McConaughey
The Ballad of Buster Scruggs	2018	7.3	Tim Blake Nelson*Willie Watson*Clancy Brown*Danny McCarthy
Ophelia	2018	6.8	Daisy Ridley*Naomi Watts*George MacKay*Clive Owen
Mary Queen of Scots	2018	6.3	Saoirse Ronan*Margot Robbie*Jack Lowden*Joe Alwyn
Mother's Day	2016	5.7	Jennifer Aniston*Kate Hudson*Julia Roberts*Jason Sudeikis
Scott Pilgrim vs. the World	2010	7.5	Michael Cera*Mary Elizabeth Winstead*Kieran Culkin*Anna Kendrick
London Has Fallen	2016	5.9	Gerard Butler*Aaron Eckhart*Morgan Freeman*Angela Bassett
The Dark Knight Rises	2012	8.4	Christian Bale*Tom Hardy*Anne Hathaway*Gary Oldman
Eyes Wide Shut	1999	7.4	Tom Cruise*Nicole Kidman*Todd Field*Sydney Pollack
Incredibles 2	2018	7.7	Craig T. Nelson*Holly Hunter*Sarah Vowell*Huck Milner
Spider-Man	2002	7.3	Tobey Maguire*Kirsten Dunst*Willem Dafoe*James Franco
Logan	2017	8.1	Hugh Jackman*Patrick Stewart*Dafne Keen*Boyd Holbrook
Prospect	2018	6.1	Sophie Thatcher*Jay Duplass*Pedro Pascal*Luke Pitzrick
Cinderella	2015	6.9	Lily James*Cate Blanchett*Richard Madden*Helena Bonham Carter
Full Metal Jacket	1987	8.3	Matthew Modine*R. Lee Ermey*Vincent D'Onofrio*Adam Baldwin
The Shining	1980	8.4	Jack Nicholson*Shelley Duvall*Danny Lloyd*Scatman Crothers
Knock Knock	2015	4.9	Keanu Reeves*Lorenza Izzo*Ana de Armas*Aaron Burns
Bird Box	2018	6.6	Sandra Bullock*Trevante Rhodes*John Malkovich*Sarah Paulson
Fight Club	1999	8.8	Brad Pitt*Edward Norton*Meat Loaf*Zach Grenier
The Matrix Reloaded	2003	7.2	Keanu Reeves*Laurence Fishburne*Carrie-Anne Moss*Hugo Weaving
Wedding Crashers	2005	7.0	Owen Wilson*Vince Vaughn*Rachel McAdams*Christopher Walken
Gone Girl	2014	8.1	Ben Affleck*Rosamund Pike*Neil Patrick Harris*Tyler Perry
The Perfect Date	2019	5.9	Noah Centineo*Laura Marano*Odiseas Georgiadis*Camila Mendes
Godzilla	2014	6.4	Aaron Taylor-Johnson*Elizabeth Olsen*Bryan Cranston*Ken Watanabe
Twilight	2008	5.2	Kristen Stewart*Robert Pattinson*Billy Burke*Sarah Clarke
The Great Gatsby	2013	7.3	Leonardo DiCaprio*Carey Mulligan*Joel Edgerton*Tobey Maguire
Terminator Genisys	2015	6.4	Arnold Schwarzenegger*Jason Clarke*Emilia Clarke*Jai Courtney
The Punisher	2004	6.5	Thomas Jane*John Travolta*Samantha Mathis*Laura Harring
The Beach Bum	2019	6.2	Matthew McConaughey*Snoop Dogg*Isla Fisher*Stefania LaVie Owen
Call Me by Your Name	2017	7.9	Armie Hammer*Timothée Chalamet*Michael Stuhlbarg*Amira Casar
Tag	2018	6.6	Jeremy Renner*Ed Helms*Jake Johnson*Jon Hamm
Widows	2018	7.0	Viola Davis*Michelle Rodriguez*Elizabeth Debicki
The Nun	2018	5.4	Demián Bichir*Taissa Farmiga*Jonas Bloquet*Bonnie Aarons
Jurassic Park	1993	8.1	Sam Neill*Laura Dern*Jeff Goldblum*Richard Attenborough
The Karate Kid	1984	7.2	Ralph Macchio*Pat Morita*Elisabeth Shue*Martin Kove
Schindler's List	1993	8.9	Liam Neeson*Ralph Fiennes*Ben Kingsley*Caroline Goodall
Action Point	2018	5.0	Johnny Knoxville*Eleanor Worthington-Cox*Chris Pontius*Dan Bakkedahl
Back to the Future	1985	8.5	Michael J. Fox*Christopher Lloyd*Lea Thompson*Crispin Glover
What We Do in the Shadows	2014	7.7	Jemaine Clement*Taika Waititi*Cori Gonzalez-Macuer*Jonny Brugh
Fifty Shades of Grey	2015	4.1	Dakota Johnson*Jamie Dornan*Jennifer Ehle*Eloise Mumford
Creed II	2018	7.2	Michael B. Jordan*Sylvester Stallone*Tessa Thompson*Phylicia Rashad
Unbreakable	2000	7.3	Bruce Willis*Samuel L. Jackson*Robin Wright*Spencer Treat Clark
The Lord of the Rings: The Return of the King	2003	8.9	Elijah Wood*Viggo Mortensen*Ian McKellen*Orlando Bloom
Trial by Fire	2018	6.1	Laura Dern*Jack O'Connell*Emily Meade*Jade Pettyjohn
Troy	2004	7.2	Brad Pitt*Eric Bana*Orlando Bloom*Julian Glover
The Cat in the Hat	2003	3.9	Mike Myers*Spencer Breslin*Dakota Fanning*Alec Baldwin
On the Basis of Sex	2018	6.8	Felicity Jones*Armie Hammer*Justin Theroux*Sam Waterston
The Prestige	2006	8.5	Christian Bale*Hugh Jackman*Scarlett Johansson*Michael Caine
Lucifer	2019	7.7	Mohanlal*Vivek Oberoi*Manju Warrier*Tovino Thomas
The Big Lebowski	1998	8.1	Jeff Bridges*John Goodman*Julianne Moore*Steve Buscemi
Dune	1984	6.6	Kyle MacLachlan*Virginia Madsen*Francesca Annis*Leonardo Cimino
The Equalizer 2	2018	6.7	Denzel Washington*Pedro Pascal*Ashton Sanders*Orson Bean
Three Billboards Outside Ebbing, Missouri	2017	8.2	Frances McDormand*Woody Harrelson*Sam Rockwell*Caleb Landry Jones
Game Night	2018	7.0	Jason Bateman*Rachel McAdams*Kyle Chandler*Sharon Horgan
Room	2015	8.2	Brie Larson*Jacob Tremblay*Sean Bridgers*Wendy Crewson
The Princess Bride	1987	8.1	Cary Elwes*Mandy Patinkin*Robin Wright*Chris Sarandon
Blockers	2018	6.2	Leslie Mann*John Cena*Ike Barinholtz*Kathryn Newton
De De Pyaar De	2019	7.2	Ajay Devgn*Tabu*Rakul Preet Singh*Jimmy Sheirgill
The Hunger Games	2012	7.2	Jennifer Lawrence*Josh Hutcherson*Liam Hemsworth*Stanley Tucci
Hotel Mumbai	2018	7.8	Dev Patel*Armie Hammer*Nazanin Boniadi*Anupam Kher
Sing	2016	7.1	Matthew McConaughey*Reese Witherspoon*Seth MacFarlane*Scarlett Johansson
The Outsiders	1983	7.2	C. Thomas Howell*Matt Dillon*Ralph Macchio*Patrick Swayze
Ralph Breaks the Internet	2018	7.1	John C. Reilly*Sarah Silverman*Gal Gadot*Taraji P. Henson
The Equalizer	2014	7.2	Denzel Washington*Marton Csokas*Chloë Grace Moretz*David Harbour
Man of Steel	2013	7.1	Henry Cavill*Amy Adams*Michael Shannon*Diane Lane
The Godfather: Part II	1974	9.0	Al Pacino*Robert De Niro*Robert Duvall*Diane Keaton
Apocalypse Now	1979	8.5	Martin Sheen*Marlon Brando*Robert Duvall*Frederic Forrest
The Mummy	1999	7.0	Brendan Fraser*Rachel Weisz*John Hannah*Arnold Vosloo
Catch-22	1970	7.2	Alan Arkin*Martin Balsam*Richard Benjamin*Art Garfunkel
Mortal Kombat	1995	5.8	Christopher Lambert*Robin Shou*Linden Ashby*Cary-Hiroyuki Tagawa
Goodfellas	1990	8.7	Robert De Niro*Ray Liotta*Joe Pesci*Lorraine Bracco
Alien	1979	8.5	Sigourney Weaver*Tom Skerritt*John Hurt*Veronica Cartwright
First Man	2018	7.4	Ryan Gosling*Claire Foy*Jason Clarke*Kyle Chandler
Skyfall	2012	7.8	Daniel Craig*Javier Bardem*Naomie Harris*Judi Dench
World War Z	2013	7.0	Brad Pitt*Mireille Enos*Daniella Kertesz*James Badge Dale
A Violent Separation	2019	5.5	Alycia Debnam-Carey*Brenton Thwaites*Claire Holt*Ted Levine
Legally Blonde	2001	6.3	Reese Witherspoon*Luke Wilson*Selma Blair*Matthew Davis
Pirates of the Caribbean: Dead Men Tell No Tales	2017	6.6	Johnny Depp*Geoffrey Rush*Javier Bardem*Orlando Bloom
The Martian	2015	8.0	Matt Damon*Jessica Chastain*Kristen Wiig*Kate Mara
Sicario: Day of the Soldado	2018	7.1	Benicio Del Toro*Josh Brolin*Isabela Moner*Jeffrey Donovan
The Clovehitch Killer	2018	6.5	Dylan McDermott*Charlie Plummer*Samantha Mathis*Madisen Beaty
Gladiator	2000	8.5	Russell Crowe*Joaquin Phoenix*Connie Nielsen*Oliver Reed
A Clockwork Orange	1971	8.3	Malcolm McDowell*Patrick Magee*Michael Bates*Warren Clarke
Kong: Skull Island	2017	6.6	Tom Hiddleston*Samuel L. Jackson*Brie Larson*John C. Reilly
Her Smell	2018	6.2	Elisabeth Moss*Cara Delevingne*Dan Stevens*Agyness Deyn
